,Airline,Date of Journey,Source,Destination,Departure Time,Arrival Time,Duration,Total Stops,Price
0,SpiceJet, 27 Feb 2022,New Delhi,Mumbai,07:20,09:35,2h 15m,Non Stop,"5,953"
1,Air India, 27 Feb 2022,New Delhi,Mumbai,07:00,09:05,2h 05m,Non Stop,"5,955"
2,Vistara, 27 Feb 2022,New Delhi,Mumbai,09:30,11:35,2h 05m,Non Stop,"5,955"
3,IndiGo, 27 Feb 2022,New Delhi,Mumbai,02:00,04:10,2h 10m,Non Stop,"5,955"
4,IndiGo, 27 Feb 2022,New Delhi,Mumbai,06:30,08:40,2h 10m,Non Stop,"5,955"
5,IndiGo, 27 Feb 2022,New Delhi,Mumbai,07:15,09:25,2h 10m,Non Stop,"5,955"
6,Air India, 27 Feb 2022,New Delhi,Mumbai,08:00,10:10,2h 10m,Non Stop,"5,955"
7,Go First, 27 Feb 2022,New Delhi,Mumbai,08:00,10:10,2h 10m,Non Stop,"5,955"
8,Vistara, 27 Feb 2022,New Delhi,Mumbai,07:30,09:45,2h 15m,Non Stop,"5,955"
9,Go First, 27 Feb 2022,New Delhi,Mumbai,19:40,21:55,2h 15m,Non Stop,"5,955"
10,IndiGo, 27 Feb 2022,New Delhi,Mumbai,08:45,11:05,2h 20m,Non Stop,"5,955"
11,Vistara, 27 Feb 2022,New Delhi,Mumbai,08:50,11:10,2h 20m,Non Stop,"5,955"
12,Air Asia, 27 Feb 2022,New Delhi,Mumbai,04:25,06:35,2h 10m,Non Stop,"5,956"
13,Air India, 27 Feb 2022,New Delhi,Mumbai,09:00,11:15,2h 15m,Non Stop,"6,375"
14,Air India, 27 Feb 2022,New Delhi,Mumbai,19:00,21:15,2h 15m,Non Stop,"6,375"
15,IndiGo, 27 Feb 2022,New Delhi,Mumbai,09:30,12:00,2h 30m,Non Stop,"6,585"
16,Vistara, 27 Feb 2022,New Delhi,Mumbai,10:20,12:35,2h 15m,Non Stop,"6,690"
17,SpiceJet, 27 Feb 2022,New Delhi,Mumbai,18:55,21:05,2h 10m,Non Stop,"6,794"
18,Air Asia, 27 Feb 2022,New Delhi,Mumbai,20:45,07:15,10h 30m,1 Stop,"7,138"
19,Vistara, 27 Feb 2022,New Delhi,Mumbai,19:50,22:00,2h 10m,Non Stop,"7,530"
20,Vistara, 27 Feb 2022,New Delhi,Mumbai,19:00,21:15,2h 15m,Non Stop,"7,530"
21,IndiGo, 27 Feb 2022,New Delhi,Mumbai,10:45,13:05,2h 20m,Non Stop,"7,845"
22,Vistara, 27 Feb 2022,New Delhi,Mumbai,11:40,14:00,2h 20m,Non Stop,"8,055"
23,SpiceJet, 27 Feb 2022,New Delhi,Mumbai,19:45,22:05,2h 20m,Non Stop,"8,264"
24,IndiGo, 27 Feb 2022,New Delhi,Mumbai,12:00,14:10,2h 10m,Non Stop,"8,370"
25,Air India, 16 Mar 2022,New Delhi,Mumbai,07:00,09:05,2h 05m,Non Stop,"2,476"
26,Air India, 16 Mar 2022,New Delhi,Mumbai,08:00,10:10,2h 10m,Non Stop,"2,476"
27,Air India, 16 Mar 2022,New Delhi,Mumbai,09:00,11:15,2h 15m,Non Stop,"2,476"
28,Air India, 16 Mar 2022,New Delhi,Mumbai,14:30,18:00,3h 30m,1 Stop,"2,476"
29,Air India, 16 Mar 2022,New Delhi,Mumbai,18:00,20:00,2h 00m,Non Stop,"2,791"
30,Air India, 16 Mar 2022,New Delhi,Mumbai,10:40,12:50,2h 10m,Non Stop,"2,791"
31,Air India, 16 Mar 2022,New Delhi,Mumbai,17:50,21:35,3h 45m,1 Stop,"2,791"
32,Go First, 16 Mar 2022,New Delhi,Mumbai,15:00,17:00,2h 00m,Non Stop,"3,002"
33,Go First, 16 Mar 2022,New Delhi,Mumbai,20:45,22:50,2h 05m,Non Stop,"3,002"
34,IndiGo, 16 Mar 2022,New Delhi,Mumbai,02:00,04:10,2h 10m,Non Stop,"3,002"
35,Air Asia, 16 Mar 2022,New Delhi,Mumbai,04:25,06:35,2h 10m,Non Stop,"3,002"
36,Vistara, 16 Mar 2022,New Delhi,Mumbai,05:45,07:55,2h 10m,Non Stop,"3,002"
37,IndiGo, 16 Mar 2022,New Delhi,Mumbai,06:30,08:40,2h 10m,Non Stop,"3,002"
38,Go First, 16 Mar 2022,New Delhi,Mumbai,07:00,09:10,2h 10m,Non Stop,"3,002"
39,IndiGo, 16 Mar 2022,New Delhi,Mumbai,07:15,09:25,2h 10m,Non Stop,"3,002"
40,Go First, 16 Mar 2022,New Delhi,Mumbai,11:15,13:25,2h 10m,Non Stop,"3,002"
41,SpiceJet, 16 Mar 2022,New Delhi,Mumbai,18:55,21:05,2h 10m,Non Stop,"3,002"
42,Go First, 16 Mar 2022,New Delhi,Mumbai,02:00,04:15,2h 15m,Non Stop,"3,002"
43,SpiceJet, 16 Mar 2022,New Delhi,Mumbai,07:20,09:35,2h 15m,Non Stop,"3,002"
44,Go First, 16 Mar 2022,New Delhi,Mumbai,13:00,15:15,2h 15m,Non Stop,"3,002"
45,Go First, 16 Mar 2022,New Delhi,Mumbai,14:20,16:35,2h 15m,Non Stop,"3,002"
46,Go First, 16 Mar 2022,New Delhi,Mumbai,21:00,23:15,2h 15m,Non Stop,"3,002"
47,SpiceJet, 16 Mar 2022,New Delhi,Mumbai,06:20,08:40,2h 20m,Non Stop,"3,002"
48,Go First, 16 Mar 2022,New Delhi,Mumbai,10:30,12:50,2h 20m,Non Stop,"3,002"
49,SpiceJet, 16 Mar 2022,New Delhi,Mumbai,19:45,22:05,2h 20m,Non Stop,"3,002"
50,Air India, 23 Mar 2022,Mumbai,Chennai,05:20,07:20,2h 00m,Non Stop,"1,890"
51,Air India, 23 Mar 2022,Mumbai,Chennai,09:00,10:55,1h 55m,Non Stop,"2,468"
52,IndiGo, 23 Mar 2022,Mumbai,Chennai,16:25,18:15,1h 50m,Non Stop,"3,000"
53,IndiGo, 23 Mar 2022,Mumbai,Chennai,21:25,23:15,1h 50m,Non Stop,"3,000"
54,IndiGo, 23 Mar 2022,Mumbai,Chennai,04:35,06:30,1h 55m,Non Stop,"3,000"
55,IndiGo, 23 Mar 2022,Mumbai,Chennai,23:05,01:00,1h 55m,Non Stop,"3,000"
56,IndiGo, 23 Mar 2022,Mumbai,Chennai,07:15,09:15,2h 00m,Non Stop,"3,000"
57,IndiGo, 23 Mar 2022,Mumbai,Chennai,10:30,12:30,2h 00m,Non Stop,"3,000"
58,IndiGo, 23 Mar 2022,Mumbai,Chennai,19:30,21:35,2h 05m,Non Stop,"3,000"
59,Vistara, 23 Mar 2022,Mumbai,Chennai,06:45,08:50,2h 05m,Non Stop,"3,020"
60,Vistara, 23 Mar 2022,Mumbai,Chennai,09:45,11:50,2h 05m,Non Stop,"3,020"
61,Vistara, 23 Mar 2022,Mumbai,Chennai,17:50,19:55,2h 05m,Non Stop,"3,020"
62,Vistara, 23 Mar 2022,Mumbai,Chennai,21:00,23:05,2h 05m,Non Stop,"3,020"
63,IndiGo, 23 Mar 2022,Mumbai,Chennai,04:50,10:25,5h 35m,1 Stop,"3,050"
64,IndiGo, 23 Mar 2022,Mumbai,Chennai,01:15,08:20,7h 05m,1 Stop,"3,050"
65,IndiGo, 23 Mar 2022,Mumbai,Chennai,04:50,12:00,7h 10m,1 Stop,"3,050"
66,SpiceJet, 23 Mar 2022,Mumbai,Chennai,19:30,21:20,1h 50m,Non Stop,"3,140"
67,SpiceJet, 23 Mar 2022,Mumbai,Chennai,05:30,07:30,2h 00m,Non Stop,"3,140"
68,SpiceJet, 23 Mar 2022,Mumbai,Chennai,06:00,08:00,2h 00m,Non Stop,"3,140"
69,Air India, 23 Mar 2022,Mumbai,Chennai,20:15,08:00,11h 45m,1 Stop,"3,318"
70,Air Asia, 23 Mar 2022,Mumbai,Chennai,13:05,17:25,4h 20m,1 Stop,"3,517"
71,Air Asia, 23 Mar 2022,Mumbai,Chennai,21:20,08:30,11h 10m,1 Stop,"3,517"
72,Air Asia, 23 Mar 2022,Mumbai,Chennai,20:10,08:30,12h 20m,1 Stop,"3,517"
73,IndiGo, 23 Mar 2022,Mumbai,Chennai,09:30,15:55,6h 25m,1 Stop,"3,543"
74,IndiGo, 23 Mar 2022,Mumbai,Chennai,17:10,23:45,6h 35m,1 Stop,"3,544"
75,SpiceJet, 1 Mar 2022,Mumbai,Chennai,06:00,08:00,2h 00m,Non Stop,"5,940"
76,Air Asia, 1 Mar 2022,Mumbai,Chennai,13:05,17:25,4h 20m,1 Stop,"5,941"
77,Air Asia, 1 Mar 2022,Mumbai,Chennai,00:40,08:30,7h 50m,1 Stop,"5,941"
78,Air Asia, 1 Mar 2022,Mumbai,Chennai,21:20,08:30,11h 10m,1 Stop,"5,941"
79,IndiGo, 1 Mar 2022,Mumbai,Chennai,16:25,18:15,1h 50m,Non Stop,"5,943"
80,IndiGo, 1 Mar 2022,Mumbai,Chennai,21:25,23:15,1h 50m,Non Stop,"5,943"
81,IndiGo, 1 Mar 2022,Mumbai,Chennai,04:35,06:30,1h 55m,Non Stop,"5,943"
82,IndiGo, 1 Mar 2022,Mumbai,Chennai,23:05,01:00,1h 55m,Non Stop,"5,943"
83,Air India, 1 Mar 2022,Mumbai,Chennai,05:20,07:20,2h 00m,Non Stop,"5,943"
84,Vistara, 1 Mar 2022,Mumbai,Chennai,06:45,08:50,2h 05m,Non Stop,"5,943"
85,Vistara, 1 Mar 2022,Mumbai,Chennai,17:50,19:55,2h 05m,Non Stop,"5,943"
86,IndiGo, 1 Mar 2022,Mumbai,Chennai,19:30,21:35,2h 05m,Non Stop,"5,943"
87,Vistara, 1 Mar 2022,Mumbai,Chennai,21:00,23:05,2h 05m,Non Stop,"5,943"
88,IndiGo, 1 Mar 2022,Mumbai,Chennai,07:15,09:15,2h 00m,Non Stop,"6,153"
89,Vistara, 1 Mar 2022,Mumbai,Chennai,09:45,11:50,2h 05m,Non Stop,"6,363"
90,Air Asia, 1 Mar 2022,Mumbai,Chennai,07:55,15:25,7h 30m,1 Stop,"6,995"
91,Air India, 1 Mar 2022,Mumbai,Chennai,09:00,10:55,1h 55m,Non Stop,"7,203"
92,IndiGo, 1 Mar 2022,Mumbai,Chennai,10:30,12:30,2h 00m,Non Stop,"7,203"
93,IndiGo, 1 Mar 2022,Mumbai,Chennai,15:15,17:10,1h 55m,Non Stop,"7,833"
94,IndiGo, 1 Mar 2022,Mumbai,Chennai,10:45,15:05,4h 20m,1 Stop,"8,043"
95,IndiGo, 1 Mar 2022,Mumbai,Chennai,19:55,00:25,4h 30m,1 Stop,"8,043"
96,IndiGo, 1 Mar 2022,Mumbai,Chennai,12:45,17:40,4h 55m,1 Stop,"8,043"
97,IndiGo, 1 Mar 2022,Mumbai,Chennai,18:50,23:45,4h 55m,1 Stop,"8,043"
98,IndiGo, 1 Mar 2022,Mumbai,Chennai,04:50,10:25,5h 35m,1 Stop,"8,043"
99,IndiGo, 1 Mar 2022,Mumbai,Chennai,18:45,00:25,5h 40m,1 Stop,"8,043"
100,SpiceJet, 3 Mar 2022,Chennai,Bangalore,08:20,09:40,1h 20m,Non Stop,"3,359"
101,IndiGo, 3 Mar 2022,Chennai,Bangalore,13:05,14:10,1h 05m,Non Stop,"3,362"
102,Air Asia, 3 Mar 2022,Chennai,Bangalore,16:05,17:00,0h 55m,Non Stop,"3,363"
103,Air Asia, 3 Mar 2022,Chennai,Bangalore,16:55,18:20,1h 25m,Non Stop,"3,363"
104,IndiGo, 3 Mar 2022,Chennai,Bangalore,14:30,15:40,1h 10m,Non Stop,"3,572"
105,Air Asia, 3 Mar 2022,Chennai,Bangalore,22:35,23:45,1h 10m,Non Stop,"3,573"
106,IndiGo, 3 Mar 2022,Chennai,Bangalore,16:30,17:35,1h 05m,Non Stop,"4,097"
107,IndiGo, 3 Mar 2022,Chennai,Bangalore,09:00,10:05,1h 05m,Non Stop,"4,675"
108,IndiGo, 3 Mar 2022,Chennai,Bangalore,20:50,22:00,1h 10m,Non Stop,"4,885"
109,Vistara, 3 Mar 2022,Chennai,Bangalore,12:30,17:45,5h 15m,1 Stop,"9,105"
110,Vistara, 3 Mar 2022,Chennai,Bangalore,12:30,19:15,6h 45m,1 Stop,"9,105"
111,Vistara, 3 Mar 2022,Chennai,Bangalore,09:45,17:45,8h 00m,1 Stop,"9,105"
112,Vistara, 3 Mar 2022,Chennai,Bangalore,12:30,20:45,8h 15m,1 Stop,"9,105"
113,Vistara, 3 Mar 2022,Chennai,Bangalore,09:45,19:15,9h 30m,1 Stop,"9,105"
114,Vistara, 3 Mar 2022,Chennai,Bangalore,12:30,22:50,10h 20m,1 Stop,"9,105"
115,Vistara, 3 Mar 2022,Chennai,Bangalore,07:00,17:45,10h 45m,1 Stop,"9,105"
116,Vistara, 3 Mar 2022,Chennai,Bangalore,09:45,20:45,11h 00m,1 Stop,"9,105"
